Date,Price
2017-09-07,339.38
2017-09-06,320.08
2017-09-05,316.86
2017-09-04,353.06
2017-09-03,354.87
2017-09-02,392.87
2017-09-01,389.2
2017-08-31,384.1
2017-08-30,372.48
2017-08-29,347.54
2017-08-28,348.2
2017-08-27,332.99
2017-08-26,330.14
2017-08-25,324.56
2017-08-24,317.5
2017-08-23,314.19
2017-08-22,322
2017-08-21,297.79
2017-08-20,293.58
2017-08-19,292.87
2017-08-18,300.67
2017-08-17,300.45
2017-08-16,286.71
2017-08-15,299.16
2017-08-14,296.66
2017-08-13,308.35
2017-08-12,309.65
2017-08-11,300.51
2017-08-10,295.26
2017-08-09,295.95
2017-08-08,269.9
2017-08-07,263.96
2017-08-06,251.85
2017-08-05,220.72
2017-08-04,224
2017-08-03,217.92
2017-08-02,225.73
2017-08-01,200.82
2017-07-31,196.95
2017-07-30,205.9
2017-07-29,190.72
2017-07-28,202.94
2017-07-27,203.23
2017-07-26,203.78
2017-07-25,225.96
2017-07-24,228.31
2017-07-23,230.69
2017-07-22,216.6
2017-07-21,226.06
2017-07-20,194.73
2017-07-19,227.01
2017-07-18,190.87
2017-07-17,155.68
2017-07-16,167.72
2017-07-15,197.23
2017-07-14,205
2017-07-13,224.04
2017-07-12,190.57
2017-07-11,202.86
2017-07-10,238.81
2017-07-09,246.64
2017-07-08,241.28
2017-07-07,266.01
2017-07-06,266.27
2017-07-05,269.2
2017-07-04,276.37
2017-07-03,285
2017-07-02,263.12
2017-07-01,280.04
2017-06-30,292.95
2017-06-29,315.32
2017-06-28,287.23
2017-06-27,252.01
2017-06-26,278.49
2017-06-25,304.5
2017-06-24,326.99
2017-06-23,320.02
2017-06-22,325.41
2017-06-21,350.94
2017-06-20,358.71
2017-06-19,351.85
2017-06-18,368.98
2017-06-17,354.26
2017-06-16,343.71
2017-06-15,341.7
2017-06-14,388
2017-06-13,397.37
2017-06-12,343.01
2017-06-11,340.2
2017-06-10,279.38
2017-06-09,258.64
2017-06-08,255.68
2017-06-07,264.58
2017-06-06,248
2017-06-05,245.5
2017-06-04,224.95
2017-06-03,222.04
2017-06-02,221.91
2017-06-01,229.14
2017-05-31,228.69
2017-05-30,194.82
2017-05-29,175.48
2017-05-28,159.91
2017-05-27,163.8
2017-05-26,181.51
2017-05-25,196.06
2017-05-24,169.95
2017-05-23,160.1
2017-05-22,148.78
2017-05-21,123.63
2017-05-20,125.14
2017-05-19,96.2
2017-05-18,86.88
2017-05-17,87.98
2017-05-16,91
2017-05-15,89.39
2017-05-14,88.42
2017-05-13,85.17
2017-05-12,88.3
2017-05-11,88.36
2017-05-10,86.58
2017-05-09,89.25
2017-05-08,93.82
2017-05-07,95.84
2017-05-06,91.93
2017-05-05,95.97
2017-05-04,81.29
2017-05-03,77.55
2017-05-02,79.35
2017-05-01,80.87
2017-04-30,70.4
2017-04-29,73.14
2017-04-28,63.67
2017-04-27,53.42
2017-04-26,50.31
2017-04-25,50.12
2017-04-24,48.96
2017-04-23,48.61
2017-04-22,48.37
2017-04-21,49.38
2017-04-20,47.78
2017-04-19,49.79
2017-04-18,47.94
2017-04-17,48.13
2017-04-16,48.94
2017-04-15,47.2
2017-04-14,49.77
2017-04-13,46.48
2017-04-12,43.83
2017-04-11,43.92
2017-04-10,43.92
2017-04-09,44.45
2017-04-08,42.32
2017-04-07,43.3
2017-04-06,44.78
2017-04-05,44.47
2017-04-04,44.25
2017-04-03,48.74
2017-04-02,50.71
2017-04-01,50.18
2017-03-31,51.87
2017-03-30,53.1
2017-03-29,50.3
2017-03-28,48.97
2017-03-27,50.73
2017-03-26,50.5
2017-03-25,52.93
2017-03-24,42.99
2017-03-23,41.37
2017-03-22,42.36
2017-03-21,42.31
2017-03-20,43.21
2017-03-19,34.03
2017-03-18,44.62
2017-03-17,45.96
2017-03-16,35.65
2017-03-15,28.69
2017-03-14,28.63
2017-03-13,23.39
2017-03-12,21.64
2017-03-11,19.2
2017-03-10,17.82
2017-03-09,16.68
2017-03-08,18.96
2017-03-07,19.68
2017-03-06,19.37
2017-03-05,18.65
2017-03-04,19.68
2017-03-03,19.27
2017-03-02,17.37
2017-03-01,16.4
2017-02-28,15.66
2017-02-27,14.74
2017-02-26,13.65
2017-02-25,13.2
2017-02-24,13.21
2017-02-23,12.75
2017-02-22,12.83
2017-02-21,12.61
2017-02-20,12.9
2017-02-19,12.89
2017-02-18,12.75
2017-02-17,12.89
2017-02-16,12.98
2017-02-15,13.02
2017-02-14,11.44
2017-02-13,11.48
2017-02-12,11.49
2017-02-11,11.38
2017-02-10,10.99
2017-02-09,11.45
2017-02-08,11.49
2017-02-07,11.34
2017-02-06,11.29
2017-02-05,11.42
2017-02-04,10.95
2017-02-03,10.82
2017-02-02,10.73
2017-02-01,10.74
2017-01-31,10.59
2017-01-30,10.5
2017-01-29,10.57
2017-01-28,10.51
2017-01-27,10.66
2017-01-26,10.52
2017-01-25,10.51
2017-01-24,10.79
2017-01-23,10.78
2017-01-22,10.99
2017-01-21,10.65
2017-01-20,10.47
2017-01-19,10.23
2017-01-18,10.2
2017-01-17,9.62
2017-01-16,9.95
2017-01-15,9.85
2017-01-14,9.79
2017-01-13,9.89
2017-01-12,9.9
2017-01-11,10.66
2017-01-10,10.37
2017-01-09,10.44
2017-01-08,9.96
2017-01-07,10.13
2017-01-06,10.28
2017-01-05,10.98
2017-01-04,9.69
2017-01-03,8.36
2017-01-02,8.18
2017-01-01,8.13
2016-12-31,8.22
2016-12-30,8.29
2016-12-29,7.62
2016-12-28,7.16
2016-12-27,7.23
2016-12-26,7.22
2016-12-25,7.24
2016-12-24,7.18
2016-12-23,7.65
2016-12-22,7.88
2016-12-21,7.58
2016-12-20,7.62
2016-12-19,7.94
2016-12-18,7.68
2016-12-17,7.89
2016-12-16,7.77
2016-12-15,8.26
2016-12-14,8.4
2016-12-13,8.49
2016-12-12,8.25
2016-12-11,8.12
2016-12-10,8.55
2016-12-09,8.27
2016-12-08,8.37
2016-12-07,7.71
2016-12-06,6.69
2016-12-05,7.54
2016-12-04,7.9
2016-12-03,7.68
2016-12-02,8.46
2016-12-01,8.63
2016-11-30,8.19
2016-11-29,8.66
2016-11-28,8.9
2016-11-27,9.34
2016-11-26,9.4
2016-11-25,9.21
2016-11-24,9.8
2016-11-23,9.83
2016-11-22,9.53
2016-11-21,9.6
2016-11-20,9.71
2016-11-19,9.53
2016-11-18,9.98
2016-11-17,10.02
2016-11-16,10.28
2016-11-15,10.03
2016-11-14,10.14
2016-11-13,9.96
2016-11-12,10.31
2016-11-11,10.52
2016-11-10,10.66
2016-11-09,10.86
2016-11-08,10.94
